trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 1, 'e': 0.012906812580479873}",20,11,-2.2002377908896857,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 1, 'e': 0.012525358621074385}",25,17,15.229965048398986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 1, 'e': 0.012155178329914935}",20,7,16.77108043984292,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 1, 'e': 0.011795938519751572}",20,15,11.73729434333075,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 1, 'e': 0.01144731585050571}",20,8,19.646293150612316,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 1, 'e': 0.011108996538242306}",25,16,5.529280345002985,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 1, 'e': 0.010780676072743084}",25,3,37.892405901270656,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 1, 'e': 0.010462058943426803}",30,22,17.621536969182962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 1, 'e': 0.010152858373369763}",25,16,16.8171221197399,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 1, 'e': 0.009852796061187257}",25,6,33.073938392449875,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 1, 'e': 0.009561601930543513}",20,8,22.986008956070098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 1, 'e': 0.009279013887064744}",25,16,20.545386789697645,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 1, 'e': 0.00900477758243656}",30,11,34.610313518186196,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 1, 'e': 0.00873864618547329}",30,22,17.392197710245014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 1, 'e': 0.008480380159953269}",20,12,15.246572425809777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 1, 'e': 0.00822974704902003}",20,8,21.82056547074319,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 1, 'e': 0.007986521265955502}",20,16,9.707190173991894,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 1, 'e': 0.007750483891136699}",30,20,19.141923896863354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 1, 'e': 0.00752142247499327}",20,7,23.33274435094146,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 1, 'e': 0.007299130846788583}",25,13,-44.26192539880704,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
166,False,"{'a': 1, 'e': 0.0070834089290521185}",20,14,13.726454490373015,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 1, 'e': 0.006874062557496255}",20,8,23.1298437502488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 1, 'e': 0.006670903306255274}",20,11,15.848160171820112,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 1, 'e': 0.006473748318289405}",20,2,29.09826422687671,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 1, 'e': 0.006282420140801123}",25,10,24.038021985558913,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 1, 'e': 0.006096746565515638}",25,6,32.275752257351314,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 1, 'e': 0.005916560473681857}",25,19,10.6260357209555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 1, 'e': 0.005741699685654202}",25,13,25.19769781468886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 1, 'e': 0.005572006814919998}",25,4,32.57352577290269,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 1, 'e': 0.00540732912644096}",30,21,17.632450423912527,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 1, 'e': 0.005247518399181385}",20,13,12.920443279824124,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 1, 'e': 0.005092430792699196}",20,9,20.544390277721842,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 1, 'e': 0.004941926717679822}",20,12,14.363450405814962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 1, 'e': 0.004795870710296421}",20,1,-10.25097554139224,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 1, 'e': 0.004654131310283272}",35,13,41.52607450069131,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 1, 'e': 0.00451658094261267}",25,15,16.697821273509188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 1, 'e': 0.004383095802668776}",25,13,20.818347498243217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 1, 'e': 0.004253555744815125}",20,0,34.87291903104943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
